Name,Album,Artist,Release Date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time Signature
INDUSTRY BABY (feat. Jack Harlow),MONTERO,Lil Nas X,2021-09-17,212352,81,0.0221,0.741,0.691,0.0,0.0476,-7.395,0.0672,150.087,4
Way 2 Sexy (with Future & Young Thug),Certified Lover Boy,Drake,2021-09-03,257604,92,0.000619,0.803,0.597,4.5e-06,0.323,-6.035,0.141,136.008,4
STAY (with Justin Bieber),F*CK LOVE 3: OVER YOU,The Kid LAROI,2021-07-23,141805,92,0.0383,0.591,0.764,0.0,0.103,-5.484,0.0483,169.928,4
THATS WHAT I WANT,MONTERO,Lil Nas X,2021-09-17,143901,88,0.00614,0.737,0.846,0.0,0.0486,-4.51,0.22,87.981,4
Knife Talk (with 21 Savage ft. Project Pat),Certified Lover Boy,Drake,2021-09-03,242965,90,0.0635,0.849,0.424,0.0,0.0834,-9.579,0.324,145.887,4
Heat Waves,Dreamland (+ Bonus Levels),Glass Animals,2020-08-06,238805,87,0.44,0.761,0.525,6.7e-06,0.0921,-6.9,0.0944,80.87,4
MONTERO (Call Me By Your Name),MONTERO,Lil Nas X,2021-09-17,137704,81,0.293,0.593,0.503,0.0,0.405,-6.725,0.22,178.781,4
Fair Trade (with Travis Scott),Certified Lover Boy,Drake,2021-09-03,291175,93,0.0503,0.666,0.465,0.0,0.215,-8.545,0.26,167.937,4
good 4 u,SOUR,Olivia Rodrigo,2021-05-21,178146,96,0.335,0.563,0.664,0.0,0.0849,-5.044,0.154,166.928,4
family ties (with Kendrick Lamar),The Melodic Blue,Baby Keem,2021-09-10,252262,74,0.00588,0.711,0.611,0.0,0.23,-5.453,0.33,134.093,4
Need To Know,Planet Her,Doja Cat,2021-06-25,210560,93,0.304,0.664,0.609,0.0,0.0926,-6.509,0.0707,130.041,4
Girls Want Girls (with Lil Baby),Certified Lover Boy,Drake,2021-09-03,221979,92,0.181,0.767,0.438,0.0,0.142,-8.726,0.29,86.975,4
Meet Me At Our Spot,THE ANXIETY,THE ANXIETY,2020-03-13,162680,87,0.0153,0.773,0.47,0.000193,0.0851,-7.93,0.0299,94.995,4
Kiss Me More (feat. SZA),Planet Her,Doja Cat,2021-06-25,208666,86,0.259,0.764,0.705,8.92e-05,0.12,-3.463,0.0284,110.97,4
Hurricane,Donda,Kanye West,2021-08-29,243187,92,0.0466,0.587,0.561,0.0,0.109,-6.569,0.146,80.009,4
SCOOP (feat. Doja Cat),MONTERO,Lil Nas X,2021-09-17,174164,81,0.0427,0.841,0.527,1.54e-06,0.12,-8.116,0.149,163.975,4
Woman,Planet Her,Doja Cat,2021-06-25,172626,94,0.0888,0.824,0.764,0.00294,0.117,-4.175,0.0854,107.998,4
DOLLA SIGN SLIME (feat. Megan Thee Stallion),MONTERO,Lil Nas X,2021-09-17,145074,80,0.0504,0.923,0.533,0.0,0.102,-6.016,0.262,133.991,4
2055,Still Sleep?,Sleepy Hallow,2021-06-02,123986,87,0.492,0.829,0.512,0.0,0.12,-5.865,0.187,80.511,4
Wildest Dreams (Taylor's Version),Wildest Dreams (Taylor's Version),Taylor Swift,2021-09-17,220433,82,0.0374,0.583,0.67,0.0001,0.126,-7.289,0.0646,140.061,4
Shivers,Shivers,Ed Sheeran,2021-09-13,207853,87,0.281,0.788,0.859,0.0,0.0424,-2.724,0.0856,141.02,4
Happier Than Ever,Happier Than Ever,Billie Eilish,2021-07-30,298899,94,0.767,0.332,0.225,0.00349,0.128,-8.697,0.0348,81.055,3
Bad Habits,Bad Habits,Ed Sheeran,2021-06-25,231041,97,0.0469,0.808,0.897,3.14e-05,0.364,-3.712,0.0348,126.026,4
DEAD RIGHT NOW,MONTERO,Lil Nas X,2021-09-17,221203,79,0.101,0.685,0.717,1.87e-05,0.266,-6.456,0.0411,127.963,4
Champagne Poetry,Certified Lover Boy,Drake,2021-09-03,336511,89,0.758,0.423,0.667,0.0,0.246,-7.012,0.326,86.743,4
