Name,Album,Artist,Release Date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time Signature
STAY (with Justin Bieber),F*CK LOVE 3: OVER YOU,The Kid LAROI,2021-07-23,141805,92,0.0383,0.591,0.764,0.0,0.103,-5.484,0.0483,169.928,4
Shivers,Shivers,Ed Sheeran,2021-09-13,207853,87,0.281,0.788,0.859,0.0,0.0424,-2.724,0.0856,141.02,4
Bad Habits,Bad Habits,Ed Sheeran,2021-06-25,231041,97,0.0469,0.808,0.897,3.14e-05,0.364,-3.712,0.0348,126.026,4
INDUSTRY BABY (feat. Jack Harlow),MONTERO,Lil Nas X,2021-09-17,212352,81,0.0221,0.741,0.691,0.0,0.0476,-7.395,0.0672,150.087,4
Obsessed With You,Obsessed With You,Central Cee,2021-09-10,108650,80,0.377,0.769,0.809,0.0,0.238,-4.529,0.0554,143.074,4
Heat Waves,Dreamland (+ Bonus Levels),Glass Animals,2020-08-06,238805,87,0.44,0.761,0.525,6.7e-06,0.0921,-6.9,0.0944,80.87,4
Girls Want Girls (with Lil Baby),Certified Lover Boy,Drake,2021-09-03,221979,92,0.181,0.767,0.438,0.0,0.142,-8.726,0.29,86.975,4
good 4 u,SOUR,Olivia Rodrigo,2021-05-21,178146,96,0.335,0.563,0.664,0.0,0.0849,-5.044,0.154,166.928,4
THATS WHAT I WANT,MONTERO,Lil Nas X,2021-09-17,143901,88,0.00614,0.737,0.846,0.0,0.0486,-4.51,0.22,87.981,4
Fair Trade (with Travis Scott),Certified Lover Boy,Drake,2021-09-03,291175,93,0.0503,0.666,0.465,0.0,0.215,-8.545,0.26,167.937,4
Woman,Planet Her,Doja Cat,2021-06-25,172626,94,0.0888,0.824,0.764,0.00294,0.117,-4.175,0.0854,107.998,4
OUT OUT (feat. Charli XCX & Saweetie),OUT OUT (feat. Charli XCX & Saweetie),Joel Corry,2021-08-13,162603,86,0.018,0.787,0.833,0.00747,0.0374,-4.403,0.0478,123.97,4
Cold Heart - PNAU Remix,Cold Heart (PNAU Remix),Elton John,2021-08-13,202735,89,0.034,0.796,0.798,4.19e-05,0.0952,-6.312,0.0317,116.032,4
